name,players,description,startTime,endTime,bidWars
"Doom 3 Any%","ripchip_","","2020-08-20T15:06:00-04:00","2020-08-20T16:26:00-04:00","No"
"Warframe Boss Showcase","KrusKader","","2020-08-20T16:26:00-04:00","2020-08-20T17:07:00-04:00","No"
"Mega Man 9 Any% Race","HJA, Slurpeeninja","","2020-08-20T17:07:00-04:00","2020-08-20T17:57:00-04:00","No"
"Yakuza Kiwami 2 Any%","Froob","","2020-08-20T17:57:00-04:00","2020-08-20T20:35:00-04:00","Yes"
"The Legend Of Zelda: Ocarina Of Time Randomizer Co-Op","Raikaru, WoodenBarrel","","2020-08-20T20:35:00-04:00","2020-08-20T23:45:00-04:00","Yes"
"Bonus Game 4 - Half-Life: Alyx Any% No Spin","Buffet Time","","2020-08-20T23:45:00-04:00","2020-08-21T00:35:00-04:00","Yes"
"Doom Eternal Any% No Major Glitches (Nightmare Difficulty)","BloodShot9001","","2020-08-21T00:35:00-04:00","2020-08-21T02:45:00-04:00","Yes"
"Call Of Duty: Modern Warfare 2 Any%","Klooger","","2020-08-21T02:45:00-04:00","2020-08-21T04:30:00-04:00","No"
"We Happy Few We All Fall Down","DemonicRobots","","2020-08-21T04:30:00-04:00","2020-08-21T05:10:00-04:00","No"
"Miami Vice Any%","KZ_FREW","","2020-08-21T05:10:00-04:00","2020-08-21T05:45:00-04:00","Yes"
"Valdis Story: Abyssal City Any%","RiskyCB","","2020-08-21T05:45:00-04:00","2020-08-21T06:29:00-04:00","No"
"Star Wars: Knights Of The Old Republic Any%","ChaosDrifter","","2020-08-21T06:29:00-04:00","2020-08-21T07:30:00-04:00","No"
"Elevator Action Returns 1cc","The Opponent","","2020-08-21T07:30:00-04:00","2020-08-21T07:58:00-04:00","No"
"Terminator: Skynet Any%","tbcr","","2020-08-21T07:58:00-04:00","2020-08-21T08:26:00-04:00","No"
"Hello Neighbor Pc Any%","smythe","","2020-08-21T08:26:00-04:00","2020-08-21T08:50:00-04:00","No"
"Quest For Glory I: So You Want To Be A Hero 100% Route Bid War","davidtki","","2020-08-21T08:50:00-04:00","2020-08-21T09:32:00-04:00","Yes"
"Contra Rebirth Normal","WhiteHat94","","2020-08-21T09:32:00-04:00","2020-08-21T09:59:00-04:00","No"
"Puzzle Bobble 2 Puzzle","poshi","","2020-08-21T09:59:00-04:00","2020-08-21T10:25:00-04:00","No"
"A Short Hike All Gold Feathers (No S+Q)","warm_ham","","2020-08-21T10:25:00-04:00","2020-08-21T10:45:00-04:00","No"
"Baba Is You True Ending","Punchy","","2020-08-21T10:45:00-04:00","2020-08-21T11:22:00-04:00","No"
"Sly Cooper And The Thievius Raccoonus Any%","Zenthrow","","2020-08-21T11:22:00-04:00","2020-08-21T12:14:00-04:00","No"
"Kingdom Hearts Ii Final Mix Lvl 1 Data Organization Rta","CrispyMe","","2020-08-21T12:14:00-04:00","2020-08-21T13:11:00-04:00","Yes"
"Super Hark Bros 100% Race","SuperBen, UghRochester, papanug","","2020-08-21T13:11:00-04:00","2020-08-21T13:46:00-04:00","No"
"Mario Vs. Donkey Kong Any%+","ViolinGamer","","2020-08-21T13:46:00-04:00","2020-08-21T15:26:00-04:00","No"
"Super Monkey Ball 2 Story Mode All Levels","PetresInc","","2020-08-21T15:26:00-04:00","2020-08-21T16:14:00-04:00","No"
"Super Mario Bros. Warpless Race","GTAce99, Kosmic, SuperSonic71087","","2020-08-21T16:14:00-04:00","2020-08-21T16:57:00-04:00","No"
"Super Mario Bros.: The Lost Levels Warpless D-4 (Mario)","GTAce99, Kosmic, Picante, SuperSonic71087","","2020-08-21T16:57:00-04:00","2020-08-21T17:52:00-04:00","No"
"Horizon Zero Dawn Tfw Ng+ Ultra Hard","Elkjaer","","2020-08-21T17:52:00-04:00","2020-08-21T19:07:00-04:00","Yes"
"Metroid Fusion 1% Hard Race","CScottyW, HerculesBenchpress","","2020-08-21T19:07:00-04:00","2020-08-21T21:02:00-04:00","No"
"The Legend Of Zelda: Breath Of The Wild All Dog Treasures","Limcube","","2020-08-21T21:02:00-04:00","2020-08-21T22:57:00-04:00","No"
"Pokémon Firered/Leafgreen Any% Glitchless Race","JP_Xinnam, PulseEffect","","2020-08-21T22:57:00-04:00","2020-08-22T01:27:00-04:00","Yes"
"Crypt Of The Necrodancer: Amplified Coda All Zones","SpootyBiscuit","","2020-08-22T01:27:00-04:00","2020-08-22T01:57:00-04:00","No"
"Bonus Game 5 - Pump It Up! Showcase","happyf33tz","","2020-08-22T01:57:00-04:00","2020-08-22T03:07:00-04:00","Yes"
"Final Fantasy Vii Remake Any% Normal","Boring_Borin","","2020-08-22T03:07:00-04:00","2020-08-22T09:57:00-04:00","No"
"Touhou 09.5 - Shoot The Bullet All Scenes","pingval","","2020-08-22T09:57:00-04:00","2020-08-22T11:08:00-04:00","Yes"
"Ketsui: Kizuna Jigoku Tachi 2 Loop (Ura)","Moglar5k","","2020-08-22T11:08:00-04:00","2020-08-22T12:08:00-04:00","No"
"Dodonpachi Saidaioujou High Score Showcase","kayar*","","2020-08-22T12:08:00-04:00","2020-08-22T12:53:00-04:00","No"
"Super Metroid 100%","ShinyZeni","","2020-08-22T12:53:00-04:00","2020-08-22T14:23:00-04:00","Yes"
"Grand Theft Auto: Vice City All Missions","KZ_FREW","","2020-08-22T14:23:00-04:00","2020-08-22T17:01:00-04:00","No"
"Super Smash Bros. 64 Break The Target, All Characters Blindfolded","Bubzia","","2020-08-22T17:01:00-04:00","2020-08-22T17:23:00-04:00","Yes"
"Tasbot Plays Super Mario 64 Shindou Any% Bljless By Mkdasher, Dar Gos, Snark, & More","TASBot, dwangoAC, taters","","2020-08-22T17:23:00-04:00","2020-08-22T17:48:00-04:00","No"
"Super Mario Odyssey World Peace","Dangers","","2020-08-22T17:48:00-04:00","2020-08-22T19:15:00-04:00","No"
"Bloodborne All Bosses","Ahady","","2020-08-22T19:15:00-04:00","2020-08-22T20:55:00-04:00","No"
"Bonus Game 6 - Minecraft Any% Random Seed Glitchless (1.7)","Illumina","","2020-08-22T20:55:00-04:00","2020-08-22T22:10:00-04:00","Yes"
"Pokémon Shield Any% (Shield)","eddaket","","2020-08-22T22:10:00-04:00","2020-08-23T03:45:00-04:00","Yes"
"Finale The End","Tech Crew","","2020-08-23T03:45:00-04:00","2020-08-23T04:05:00-04:00","No"
