seconds,utc_unixtimestamp,donation_id,donation_amount,cumulative_donation_amount
8319,1597585719,674877,5.00,13885.77
8322,1597585722,674878,5.00,13890.77
8329,1597585729,674879,5.00,13895.77
8352,1597585752,674880,20.00,13915.77
8360,1597585760,674881,100.00,14015.77
8369,1597585769,674882,15.00,14030.77
8458,1597585858,674883,25.00,14055.77
8480,1597585880,674884,5.00,14060.77
8483,1597585883,674885,100.00,14160.77
8483,1597585883,674886,50.00,14210.77
8491,1597585891,674888,25.00,14235.77
8494,1597585894,674889,10.00,14245.77
8495,1597585895,674890,30.00,14275.77
8496,1597585896,674891,10.00,14285.77
8503,1597585903,674892,5.00,14290.77
8526,1597585926,674893,5.00,14295.77
8528,1597585928,674894,100.00,14395.77
8542,1597585942,674895,25.00,14420.77
8548,1597585948,674896,50.00,14470.77
8549,1597585949,674897,33.33,14504.10
8555,1597585955,674898,100.00,14604.10
8583,1597585983,674899,50.00,14654.10
8591,1597585991,674900,50.00,14704.10
8593,1597585993,674901,100.00,14804.10
8601,1597586001,674902,25.00,14829.10
8604,1597586004,674903,50.00,14879.10
8609,1597586009,674904,25.00,14904.10
8646,1597586046,674906,100.00,15004.10
8647,1597586047,674907,25.00,15029.10
8673,1597586073,674908,5.00,15034.10
8679,1597586079,674909,120.00,15154.10
8686,1597586086,674910,50.00,15204.10
8689,1597586089,674911,30.00,15234.10
8832,1597586232,674912,5.00,15239.10
8841,1597586241,674913,5.00,15244.10
8844,1597586244,674914,20.00,15264.10
8865,1597586265,674915,50.00,15314.10
8867,1597586267,674916,30.00,15344.10
8888,1597586288,674917,5.00,15349.10
9000,1597586400,674918,5.00,15354.10
9026,1597586426,674919,20.00,15374.10
9028,1597586428,674920,100.00,15474.10
9045,1597586445,674921,50.00,15524.10
9054,1597586454,674922,20.00,15544.10
9068,1597586468,674923,25.00,15569.10
9075,1597586475,674924,25.00,15594.10
9077,1597586477,674925,5.00,15599.10
9138,1597586538,674926,5.00,15604.10
9153,1597586553,674927,25.00,15629.10
9170,1597586570,674928,10.00,15639.10
9186,1597586586,674929,10.00,15649.10
9193,1597586593,674930,5.00,15654.10
9213,1597586613,674931,25.00,15679.10
9287,1597586687,674932,5.00,15684.10
9306,1597586706,674934,250.00,15934.10
9320,1597586720,674935,13.12,15947.22
9347,1597586747,674936,13.12,15960.34
9378,1597586778,674937,13.12,15973.46
9404,1597586804,674938,50.00,16023.46
9458,1597586858,674939,25.00,16048.46
9507,1597586907,674940,10.00,16058.46
9522,1597586922,674941,25.00,16083.46
9590,1597586990,674942,25.00,16108.46
9635,1597587035,674944,25.00,16133.46
9654,1597587054,674945,20.00,16153.46
9695,1597587095,674947,30.00,16183.46
9708,1597587108,674949,500.00,16683.46
9709,1597587109,674950,5.00,16688.46
9710,1597587110,674951,10.00,16698.46
9710,1597587110,674952,30.00,16728.46
9710,1597587110,674953,50.00,16778.46
9711,1597587111,674954,5.00,16783.46
9716,1597587116,674955,25.00,16808.46
9722,1597587122,674956,25.00,16833.46
9725,1597587125,674957,50.00,16883.46
9725,1597587125,674958,5.00,16888.46
9736,1597587136,674959,75.00,16963.46
9736,1597587136,674960,25.00,16988.46
9746,1597587146,674961,20.00,17008.46
9749,1597587149,674962,5.00,17013.46
9756,1597587156,674963,25.00,17038.46
9762,1597587162,674964,100.00,17138.46
9770,1597587170,674965,10.00,17148.46
9771,1597587171,674966,50.00,17198.46
9773,1597587173,674967,15.00,17213.46
9784,1597587184,674968,30.00,17243.46
9794,1597587194,674969,50.00,17293.46
9894,1597587294,674970,50.00,17343.46
9902,1597587302,674971,10.00,17353.46
9954,1597587354,674973,5.00,17358.46
9958,1597587358,674974,5.00,17363.46
9962,1597587362,674975,5.00,17368.46
9977,1597587377,674977,5.00,17373.46
9977,1597587377,674978,5.00,17378.46
9980,1597587380,674979,5.00,17383.46
9982,1597587382,674980,5.00,17388.46
9983,1597587383,674981,5.00,17393.46
9985,1597587385,674982,30.00,17423.46
9986,1597587386,674983,5.00,17428.46
9986,1597587386,674984,5.00,17433.46
9987,1597587387,674985,5.00,17438.46
9992,1597587392,674986,5.00,17443.46
9993,1597587393,674987,5.00,17448.46
9995,1597587395,674988,5.00,17453.46
9996,1597587396,674989,5.00,17458.46
9997,1597587397,674990,5.00,17463.46
9998,1597587398,674991,10.00,17473.46
9998,1597587398,674992,10.00,17483.46
10001,1597587401,674994,5.00,17488.46
10002,1597587402,674995,5.00,17493.46
10002,1597587402,674996,5.00,17498.46
10005,1597587405,674997,5.00,17503.46
10005,1597587405,674998,5.00,17508.46
10007,1597587407,674999,5.00,17513.46
10009,1597587409,675000,5.00,17518.46
10010,1597587410,675001,5.00,17523.46
10014,1597587414,675002,5.00,17528.46
10015,1597587415,675003,25.00,17553.46
10015,1597587415,675004,10.00,17563.46
10016,1597587416,675005,5.00,17568.46
10016,1597587416,675006,5.00,17573.46
10018,1597587418,675008,5.00,17578.46
10020,1597587420,675009,25.00,17603.46
10024,1597587424,675010,5.00,17608.46
10027,1597587427,675011,5.00,17613.46
10029,1597587429,675012,5.00,17618.46
