seconds,utc_unixtimestamp,donation_id,donation_amount,cumulative_donation_amount
6803,1515331403,385309,25.00,17098.41
6816,1515331416,385310,100.00,17198.41
6827,1515331427,385311,15.00,17213.41
6827,1515331427,385312,10.00,17223.41
6828,1515331428,385314,10.00,17233.41
6830,1515331430,385316,20.00,17253.41
6836,1515331436,385317,50.00,17303.41
6841,1515331441,385319,10.00,17313.41
6844,1515331444,385321,5.54,17318.95
6849,1515331449,385322,10.00,17328.95
6854,1515331454,385324,50.00,17378.95
6865,1515331465,385326,5.00,17383.95
6887,1515331487,385328,50.00,17433.95
6894,1515331494,385329,5.00,17438.95
6895,1515331495,385330,20.00,17458.95
6904,1515331504,385331,150.00,17608.95
6911,1515331511,385332,15.00,17623.95
6913,1515331513,385333,5.00,17628.95
6936,1515331536,385338,10.00,17638.95
6939,1515331539,385339,10.00,17648.95
6953,1515331553,385341,50.00,17698.95
6955,1515331555,385342,10.00,17708.95
6963,1515331563,385344,10.00,17718.95
6979,1515331579,385345,10.00,17728.95
6990,1515331590,385346,200.00,17928.95
6991,1515331591,385347,150.00,18078.95
7001,1515331601,385348,10.00,18088.95
7005,1515331605,385349,10.00,18098.95
7006,1515331606,385350,250.00,18348.95
7014,1515331614,385351,20.00,18368.95
7014,1515331614,385352,25.00,18393.95
7045,1515331645,385353,5.00,18398.95
7047,1515331647,385354,150.00,18548.95
7055,1515331655,385356,10.00,18558.95
7058,1515331658,385357,10.00,18568.95
7061,1515331661,385358,13.37,18582.32
7068,1515331668,385362,100.00,18682.32
7079,1515331679,385363,150.00,18832.32
7081,1515331681,385364,33.00,18865.32
7082,1515331682,385365,10.00,18875.32
7089,1515331689,385366,20.00,18895.32
7100,1515331700,385367,5.00,18900.32
7118,1515331718,385369,20.00,18920.32
7138,1515331738,385370,50.00,18970.32
7178,1515331778,385372,20.00,18990.32
7204,1515331804,385373,50.00,19040.32
7206,1515331806,385374,10.00,19050.32
7206,1515331806,385375,25.00,19075.32
7246,1515331846,385376,13.37,19088.69
7265,1515331865,385378,5.00,19093.69
7282,1515331882,385380,150.00,19243.69
7298,1515331898,385381,10.00,19253.69
7304,1515331904,385382,50.00,19303.69
7326,1515331926,385383,40.00,19343.69
7327,1515331927,385384,150.00,19493.69
7329,1515331929,385385,10.00,19503.69
7336,1515331936,385386,10.00,19513.69
7378,1515331978,385390,10.00,19523.69
7392,1515331992,385392,50.00,19573.69
7421,1515332021,385393,15.00,19588.69
7430,1515332030,385395,15.00,19603.69
7439,1515332039,385396,30.00,19633.69
7460,1515332060,385397,30.00,19663.69
7461,1515332061,385398,50.00,19713.69
7475,1515332075,385399,6.20,19719.89
7478,1515332078,385400,5.00,19724.89
7489,1515332089,385401,20.00,19744.89
7529,1515332129,385403,10.00,19754.89
7536,1515332136,385404,5.00,19759.89
7549,1515332149,385405,5.00,19764.89
7561,1515332161,385406,5.00,19769.89
7578,1515332178,385408,5.00,19774.89
7582,1515332182,385409,5.00,19779.89
7591,1515332191,385410,20.00,19799.89
7663,1515332263,385412,5.00,19804.89
7701,1515332301,385413,10.00,19814.89
7719,1515332319,385414,25.00,19839.89
7721,1515332321,385416,5.00,19844.89
7722,1515332322,385417,100.00,19944.89
7765,1515332365,385419,15.00,19959.89
7768,1515332368,385420,5.00,19964.89
7794,1515332394,385422,10.00,19974.89
7824,1515332424,385423,20.00,19994.89
7825,1515332425,385424,25.00,20019.89
7884,1515332484,385427,30.00,20049.89
7897,1515332497,385429,20.00,20069.89
7899,1515332499,385430,5.69,20075.58
7902,1515332502,385431,5.00,20080.58
7907,1515332507,385432,15.00,20095.58
7923,1515332523,385434,10.00,20105.58
7933,1515332533,385435,10.00,20115.58
7951,1515332551,385436,5.00,20120.58
7966,1515332566,385438,150.00,20270.58
7986,1515332586,385439,5.00,20275.58
8015,1515332615,385440,5.00,20280.58
8019,1515332619,385441,150.00,20430.58
8030,1515332630,385442,100.00,20530.58
8037,1515332637,385443,5.00,20535.58
8099,1515332699,385446,40.00,20575.58
8102,1515332702,385447,50.00,20625.58
8133,1515332733,385449,5.00,20630.58
8179,1515332779,385450,15.00,20645.58
8221,1515332821,385451,25.00,20670.58
8241,1515332841,385453,25.00,20695.58
8243,1515332843,385454,25.00,20720.58
8273,1515332873,385455,5.00,20725.58
8281,1515332881,385456,10.00,20735.58
8458,1515333058,385460,15.00,20750.58
8479,1515333079,385462,5.00,20755.58
8499,1515333099,385464,10.00,20765.58
8512,1515333112,385465,150.00,20915.58
8519,1515333119,385466,25.00,20940.58
8527,1515333127,385467,25.00,20965.58
8532,1515333132,385468,10.00,20975.58
8536,1515333136,385469,5.00,20980.58
8559,1515333159,385472,5.00,20985.58
8561,1515333161,385473,15.00,21000.58
8562,1515333162,385474,10.00,21010.58
8575,1515333175,385475,10.00,21020.58
8586,1515333186,385476,5.01,21025.59
8586,1515333186,385477,15.00,21040.59
8599,1515333199,385478,10.00,21050.59
8600,1515333200,385479,50.00,21100.59
8604,1515333204,385481,5.00,21105.59
8606,1515333206,385482,10.00,21115.59
8614,1515333214,385483,200.00,21315.59
8625,1515333225,385484,5.00,21320.59
8631,1515333231,385485,10.00,21330.59
8635,1515333235,385486,25.00,21355.59
8637,1515333237,385487,50.00,21405.59
8644,1515333244,385488,5.00,21410.59
8655,1515333255,385489,15.00,21425.59
8664,1515333264,385490,50.00,21475.59
8672,1515333272,385491,5.00,21480.59
